"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"popDensity[12]",6.58196879600186,0.0673753067704682,3.69825269729598,2.53097862841031,4.27710081695722,5.73667659157155,7.73391629856039,15.9269210142894,3012.94812353165,1.00029577996796
"popDensity[13]",42.9105509933006,0.223589291514313,17.3876684823022,20.5200596420772,31.5451295272609,38.9932430207467,50.0561382422706,87.3434712220668,6047.56719923001,1.00080064561674
"log_q_a[1]",0.255431499223349,0.0119538034408685,1.06036947009348,-1.87498540516263,-0.405806059054812,0.268485424452464,0.895316449738469,2.40690213659944,7868.68589925288,0.999945120826205
"log_q_a[2]",-0.106303874049108,0.0119258116961149,1.0681826043452,-2.24637080384725,-0.767310528423391,-0.0873809464637027,0.545221074961622,2.05447249807047,8022.59940013312,0.999976634902911
"log_q_a[3]",-0.312273791143158,0.0122310079504041,1.07860183291903,-2.46989517693683,-0.969827182963292,-0.311300447516813,0.344426432441409,1.86035719486195,7776.74414679643,0.999950661896629
"log_q_a[4]",-0.808662896324429,0.0121805003103175,1.08942704733753,-2.95176467494013,-1.47852660995374,-0.800121548047021,-0.131256037789138,1.37376085227398,7999.55911981719,0.999962147926095
"log_q_a[5]",0.606269029880314,0.0121533316799434,1.08834163893529,-1.54116644543263,-0.0579224857525856,0.602809221095616,1.26238666667701,2.82595367871259,8019.36146551437,0.999844312073951
"log_q_a[6]",-0.718896873069154,0.0120653951129987,1.07047121624303,-2.84383786459817,-1.38124252950976,-0.707439937716706,-0.074354810638632,1.45887080871324,7871.67021614465,0.999998134791574
"log_q_a[7]",0.286036021873195,0.0119922854615326,1.06192865001234,-1.81133320623263,-0.368020823806143,0.294512626982617,0.925966616214337,2.43016927893146,7841.27635363916,0.999930340876233
"log_q_a[8]",1.13753216420662,0.0122132154059572,1.07301633142911,-0.960143582456126,0.479542858988449,1.1390200402638,1.78926218194084,3.29568463889724,7718.85051403557,0.99986021586825
"log_q_a[9]",-0.835175318103107,0.0123630537861157,1.09603271682821,-3.03540357464905,-1.52274696336113,-0.828415593663581,-0.14865558913352,1.41419287647229,7859.51086988566,0.999892540823065
"log_q_a[10]",-0.042075303911756,0.0119489630736735,1.07699295762557,-2.19571591896232,-0.707170186958108,-0.0319245923023126,0.61308854063708,2.10036765871004,8123.9134696112,0.999933367992164
"log_q_a[11]",0.584439547872059,0.0122745171158238,1.09323870493707,-1.56699179352895,-0.0865615944889524,0.581295895566579,1.25468837560899,2.76591351931631,7932.70248439949,0.999896665800468
"log_q_a[12]",-0.0778142639489708,0.012107441125984,1.07079902701253,-2.19064484421797,-0.736937816308388,-0.0734668316297882,0.569564992136654,2.0508895004314,7821.88099163247,0.999839626773253
